,net_worth_billions,age,clusters
473,2.5,38.0,1
474,2.5,60.0,0
475,2.4,66.0,0
476,2.4,65.0,0
477,2.4,58.0,0
478,2.4,52.0,1
479,2.4,48.0,1
480,2.4,53.0,1
481,2.4,56.0,0
482,2.4,63.0,0
483,2.3,75.0,3
484,2.3,65.0,0
485,2.3,59.0,0
486,2.3,59.0,0
487,2.3,71.0,3
488,2.3,56.0,0
489,2.3,74.0,3
490,2.2,82.0,3
491,2.2,58.0,0
492,2.2,66.0,0
493,2.2,37.0,1
494,2.2,60.0,0
495,2.2,42.0,1
496,2.2,37.0,1
497,2.2,55.0,0
498,2.1,34.0,1
499,2.1,65.0,0
500,2.1,54.0,0
501,2.1,63.0,0
502,2.1,71.0,3
503,2.1,59.0,0
504,2.1,47.0,1
505,2.0,78.0,3
506,2.0,76.0,3
507,2.0,61.0,0
508,2.0,56.0,0
509,2.0,64.0,0
510,2.0,62.0,0
511,2.0,0.0,1
512,2.0,73.0,3
513,2.0,0.0,1
514,1.9,48.0,1
515,1.9,61.0,0
516,1.9,60.0,0
517,1.8,78.0,3
518,1.8,48.0,1
519,1.8,62.0,0
520,1.8,62.0,0
521,1.8,63.0,0
522,1.8,64.0,0
523,1.8,73.0,3
524,1.8,59.0,0
525,1.8,68.0,0
526,1.8,64.0,0
527,1.8,75.0,3
528,1.8,69.0,0
529,1.8,66.0,0
530,1.8,40.0,1
531,1.8,0.0,1
532,1.8,69.0,0
533,1.8,56.0,0
534,1.8,60.0,0
535,1.7,50.0,1
536,1.7,64.0,0
537,1.7,76.0,3
538,1.7,75.0,3
539,1.7,72.0,3
540,1.7,52.0,1
541,1.7,52.0,1
542,1.7,61.0,0
543,1.7,72.0,3
544,1.7,70.0,0
545,1.7,61.0,0
546,1.7,57.0,0
547,1.7,57.0,0
548,1.7,69.0,0
549,1.7,67.0,0
550,1.6,67.0,0
551,1.6,59.0,0
552,1.6,50.0,1
553,1.6,75.0,3
554,1.6,61.0,0
555,1.6,75.0,3
556,1.6,60.0,0
557,1.6,58.0,0
558,1.6,35.0,1
559,1.6,46.0,1
560,1.6,56.0,0
561,1.6,67.0,0
562,1.5,56.0,0
563,1.5,69.0,0
564,1.5,45.0,1
565,1.5,38.0,1
566,1.5,79.0,3
567,1.5,55.0,0
568,1.5,71.0,3
569,1.5,63.0,0
570,1.5,37.0,1
571,1.5,59.0,0
572,1.5,63.0,0
573,1.5,56.0,0
574,1.5,82.0,3
575,1.5,68.0,0
576,1.5,70.0,0
577,1.5,44.0,1
578,1.5,77.0,3
579,1.4,51.0,1
580,1.4,51.0,1
581,1.4,49.0,1
582,1.4,43.0,1
583,1.4,64.0,0
584,1.4,50.0,1
585,1.4,60.0,0
586,1.4,35.0,1
587,1.4,62.0,0
588,1.4,52.0,1
589,1.4,61.0,0
590,1.4,58.0,0
591,1.4,51.0,1
592,1.4,77.0,3
593,1.4,63.0,0
594,1.4,59.0,0
595,1.4,18.0,1
596,1.3,64.0,0
597,1.3,66.0,0
598,1.3,62.0,0
599,1.3,74.0,3
600,1.3,72.0,3
601,1.3,45.0,1
602,1.3,57.0,0
603,1.3,49.0,1
604,1.3,58.0,0
605,1.3,63.0,0
606,1.3,66.0,0
607,1.3,45.0,1
608,1.3,49.0,1
609,1.3,57.0,0
610,1.3,54.0,0
611,1.2,72.0,3
612,1.2,67.0,0
613,1.2,64.0,0
614,1.2,72.0,3
615,1.2,54.0,0
616,1.2,68.0,0
617,1.2,76.0,3
618,1.2,67.0,0
619,1.2,65.0,0
620,1.2,63.0,0
621,1.2,58.0,0
622,1.2,74.0,3
623,1.2,65.0,0
624,1.2,56.0,0
625,1.2,69.0,0
626,1.2,43.0,1
627,1.2,47.0,1
628,1.2,84.0,3
629,1.2,73.0,3
630,1.2,30.0,1
631,1.2,37.0,1
632,1.2,34.0,1
633,1.1,59.0,0
634,1.1,70.0,0
635,1.1,33.0,1
636,1.1,60.0,0
637,1.1,65.0,0
638,1.1,59.0,0
639,1.1,46.0,1
640,1.1,54.0,0
641,1.1,65.0,0
642,1.1,48.0,1
643,1.1,76.0,3
644,1.1,65.0,0
645,1.1,52.0,1
646,1.1,51.0,1
647,1.1,69.0,0
648,1.1,57.0,0
649,1.1,61.0,0
650,1.1,45.0,1
651,1.1,69.0,0
652,1.1,59.0,0
653,1.1,64.0,0
654,1.0,64.0,0
655,1.0,34.0,1
656,1.0,46.0,1
657,1.0,51.0,1
658,1.0,76.0,3
659,1.0,56.0,0
660,1.0,78.0,3
661,1.0,34.0,1
662,1.0,52.0,1
663,1.0,75.0,3
664,1.0,69.0,0
665,1.0,59.0,0
666,1.0,47.0,1
667,1.0,51.0,1
668,1.0,56.0,0
669,1.0,53.0,1
670,1.0,69.0,0
671,1.0,63.0,0
672,1.0,61.0,0
673,1.0,67.0,0
674,1.0,64.0,0
675,1.0,0.0,1
676,1.0,65.0,0
677,1.0,70.0,0
678,1.0,52.0,1
679,1.0,34.0,1
680,1.0,59.0,0
681,1.0,68.0,0
682,1.0,78.0,3
683,1.0,56.0,0
684,1.0,53.0,1
685,1.0,72.0,3
686,1.0,42.0,1
687,40.7,47.0,4
688,30.5,72.0,4
689,20.1,50.0,4
690,17.7,46.0,4
691,16.6,58.0,4
692,16.5,54.0,4
693,16.5,55.0,4
694,16.5,59.0,4
695,14.5,80.0,4
696,13.0,76.0,4
697,12.9,0.0,1
698,11.1,46.0,1
699,10.3,83.0,3
700,10.3,67.0,0
701,10.0,71.0,3
702,10.0,64.0,0
703,10.0,66.0,0
704,9.8,38.0,1
705,8.2,41.0,1
706,8.0,79.0,3
707,7.8,74.0,3
708,7.7,73.0,3
709,7.7,75.0,3
710,7.7,76.0,3
711,7.6,52.0,1
712,7.5,51.0,1
713,7.4,63.0,0
714,7.0,72.0,3
715,6.7,54.0,0
716,6.7,55.0,0
717,6.6,0.0,1
718,6.2,62.0,0
719,6.0,59.0,0
720,5.9,66.0,0
721,5.9,50.0,1
722,5.9,57.0,0
723,5.8,67.0,0
724,5.7,36.0,1
725,5.7,76.0,3
726,5.6,67.0,0
727,5.6,72.0,3
728,5.5,72.0,3
729,5.5,59.0,0
730,5.3,41.0,1
731,5.1,59.0,0
732,5.0,35.0,1
733,4.9,63.0,0
734,4.8,60.0,0
735,4.7,37.0,1
736,4.6,67.0,0
737,4.5,0.0,1
738,4.3,38.0,1
739,4.3,37.0,1
740,4.3,37.0,1
741,4.2,65.0,0
742,4.1,60.0,0
743,4.1,72.0,3
744,4.1,79.0,3
745,4.1,66.0,0
746,4.0,70.0,0
747,4.0,57.0,0
748,4.0,67.0,0
749,4.0,62.0,0
750,3.9,69.0,0
751,3.8,60.0,0
752,3.8,70.0,0
753,3.8,0.0,1
754,3.7,48.0,1
755,3.7,75.0,3
756,3.7,72.0,3
757,3.6,59.0,0
758,3.5,76.0,3
759,3.5,0.0,1
760,3.5,39.0,1
761,3.4,77.0,3
762,3.4,85.0,3
763,3.4,80.0,3
764,3.4,75.0,3
765,3.3,62.0,0
766,3.3,56.0,0
767,3.2,53.0,1
768,3.2,50.0,1
769,3.2,77.0,3
770,3.2,71.0,3
771,3.2,78.0,3
772,3.2,72.0,3
773,3.2,57.0,0
774,3.1,60.0,0
775,3.0,48.0,1
776,3.0,58.0,0
777,3.0,62.0,0
778,3.0,80.0,3
779,2.9,63.0,0
780,2.9,84.0,3
781,2.9,59.0,0
782,2.8,0.0,1
783,2.8,77.0,3
784,2.8,61.0,0
785,2.8,66.0,0
786,2.8,38.0,1
787,2.7,63.0,0
788,2.7,82.0,3
789,2.7,92.0,3
790,2.7,53.0,1
791,2.6,60.0,0
792,2.6,69.0,0
793,2.6,75.0,3
794,2.6,74.0,3
795,2.6,65.0,0
796,2.6,67.0,0
797,2.5,55.0,0
798,2.5,39.0,1
799,2.5,65.0,0
800,2.5,53.0,1
